Timestamp,,What is your role in the course you are reflecting on? ,What topics did you cover this week?,What kinds of activities did your students focus  on this week out of class?  [Reading/Research],What kinds of activities did your students focus  on this week out of class?  [Continuing/Finishing In-Class Work],What kinds of activities did your students focus  on this week out of class?  [Homework Problems/Assignments],What kinds of activities did your students focus  on this week out of class?  [Out-of-Class Labs],What kinds of activities did your students focus  on this week out of class?  [Multi-Week Project Experience],What kinds of activities did your students focus  on this week out of class?  [Other],What questions did students raise this week?,"By observation, what concepts or processes did students struggle with?",Which student questions were surprising to you?
3/6/2020 8:39,F19A,Faculty/Instructor,"Exploratory Data Analysis; Variance, Random Sample Generation",Least Time,Least Time,Least Time,Least Time,Most Time,,"More information about percentiles, more opportunities for in-class coding",How to document the thought process around their on-going projects,They want more Python examples of different codes.  They seem to think that they can learn ALL the code through a course when in reality no one ever knows everything.
1/24/2020 14:48,T20C,Teaching Assistant,Scheduling meetings and project organization,N/A,Least Time,Some Time,N/A,Some Time,N/A,Project management and github usage,Using Github as a tool for project management ,
1/31/2020 21:51,T20C,Teaching Assistant,Github repo creation and project planning,Some Time,Some Time,N/A,N/A,Most Time,N/A,How to create and use github repos,Navigating the commandline,
2/7/2020 16:28,T20C,Teaching Assistant,If-idf,Some Time,Least Time,Some Time,Some Time,Most Time,N/A,How to topic model,Dataset structuring ,
2/21/2020 14:41,T20C,Teaching Assistant,"Machine learning, layered design schedule ",Some Time,Some Time,Most Time,N/A,Least Time,N/A,Github project structure re-ordering,Naive Bayes,
1/24/2020 14:47,T21C,Teaching Assistant,scheduling meetings with the client,Some Time,Most Time,Most Time,Some Time,N/A,N/A,Regarding the programming knowledge to work on the project,project management and collaboration,NA
1/31/2020 15:04,T21C,Teaching Assistant,"Setting up the Github Repository, Raw Data exploration, Meeting with clients",Most Time,Some Time,Most Time,Some Time,N/A,N/A,how to look at the important columns or columns necessary for understanding the requirement,"Excel operations to check the data , understanding the data",some of them were struggling with the basic Microsoft Excel operations which surprised me
2/10/2020 11:50,T21C,Teaching Assistant,"Project Milestone 1 , over view of the project , goals and expected outputs",Most Time,Some Time,Some Time,Some Time,Some Time,Least Time,how do the clients use the insights or the output of this project,"presentation skills , not prepared for the questions",nothing as such
2/21/2020 14:59,T21C,Teaching Assistant,Data Preprocessing ,Some Time,Some Time,Most Time,N/A,Some Time,N/A,They had the questions on the approach for cleaning the data and managing the work with their midterms ,"Data cleaning , reading a file , replacing and creating bins for data in python",Nothing as such 
3/1/2020 2:08,T21C,Teaching Assistant,Milestone 3 - Project planning phase,Most Time,Some Time,Some Time,Least Time,Some Time,Some Time,Programming questions on python,programming,Nothing as such
3/28/2020 17:21,T21C,Teaching Assistant,Supervised Learning / Unsupervised Learning,Most Time,Some Time,Most Time,Some Time,Some Time,N/A,Regarding the alogrithms that needs to be used for the data,understanding and applying the right alogirthm that fits the data,
